SrcIP,SrcPort,DstIP,DstPort,SegmentSize,Count
250.123.211.3,40996,22.3.67.150,93,32,1
229.182.89.167,58415,80.63.5.133,25769,40,1
64.212.156.198,49468,224.208.178.203,2086,24,1
89.234.187.103,44074,184.148.113.131,22,20,1
165.230.10.206,6827,169.208.67.150,10260,40,1
249.103.6.195,60465,61.224.178.203,1026,20,1
238.129.135.15,50918,218.54.5.133,9037,32,1
44.190.178.203,443,150.20.0.185,47918,1408,1
44.190.178.203,443,150.20.0.185,47918,4136,2
44.190.178.203,443,150.20.0.185,47918,1400,3
44.190.178.203,443,150.20.0.185,47918,1421,1
44.190.178.203,443,150.20.0.185,47918,1429,2
229.191.47.195,60318,63.178.178.203,830,132,1
148.44.236.45,46645,201.43.67.150,15733,20,1
227.129.135.15,56528,37.42.164.163,3074,32,1
253.33.5.133,3389,125.16.22.106,52697,28,1
111.197.15.14,45502,104.221.13.202,43,32,1
193.236.83.154,47340,148.173.67.150,80,20,1
14.198.67.150,59363,74.243.131.20,443,32,1
150.195.244.91,8883,74.221.164.163,53085,44,1
54.202.197.36,45589,248.104.123.199,443,44,1
19.218.193.3,53050,177.35.148.202,49174,32,1
238.129.135.15,35925,152.160.164.163,9037,32,1
39.139.122.183,51722,205.203.28.133,23,20,1
205.193.123.153,22,255.36.148.202,51738,40,1
65.215.52.31,50538,49.162.24.202,21565,513,1
208.121.202.172,56461,59.136.178.203,8040,20,1
132.191.47.195,60679,39.241.5.133,15839,20,1
238.129.135.15,44782,139.190.164.163,9037,32,1
120.66.222.147,49827,101.8.5.133,53300,24,1
52.42.132.113,57115,7.166.178.203,23,40,1
125.16.22.106,52697,253.33.5.133,3389,32,1
50.175.28.133,64413,179.215.41.104,443,121,1
50.175.28.133,64413,179.215.41.104,443,146,1
50.175.28.133,64413,179.215.41.104,443,32,1
189.165.24.202,22,116.28.86.149,55178,84,1
172.17.157.59,48943,253.228.152.202,8888,20,1
12.195.119.92,35584,186.46.5.133,8443,32,1
12.195.119.92,35584,186.46.5.133,8443,56,1
249.212.156.198,53943,87.208.113.131,8009,24,1
103.206.173.157,5900,151.55.130.79,29010,32,1
36.73.67.150,54396,15.203.211.162,19292,40,1
238.129.135.15,46011,12.60.67.150,9037,32,1
192.160.89.167,45650,240.208.178.203,63920,40,1
209.98.252.183,5176,17.246.152.202,23,20,1
74.229.10.206,62686,122.78.164.163,43001,24,1
89.64.123.196,45065,97.196.34.210,22,20,1
32.29.238.103,22,25.85.123.196,54766,1152,1
54.208.81.205,52109,127.195.67.150,61337,24,1
218.93.123.87,60165,134.215.5.133,4646,20,1
232.169.213.3,56083,11.248.67.150,49225,32,1
36.179.187.119,3080,180.74.67.150,23,20,1
247.66.222.147,56690,112.87.164.163,8081,24,1
25.85.123.196,54766,32.29.238.103,22,1040,1
118.177.120.115,25393,13.175.178.203,2078,24,1
11.24.127.184,49348,169.218.178.203,22802,20,1
111.180.178.203,80,28.52.176.152,2563,1480,1
143.230.10.206,24853,210.74.67.150,26182,40,1
217.65.9.72,47963,91.45.5.133,443,24,1
88.110.97.146,60744,219.162.24.202,6881,32,1
42.225.219.172,443,237.110.67.150,55590,70,1
42.225.219.172,443,237.110.67.150,55590,416,1
123.4.228.110,59722,211.181.15.133,23,24,1
98.195.28.133,80,194.102.211.85,32960,314,1
110.213.153.39,14232,83.47.5.133,23,20,1
64.102.170.220,39150,95.182.178.203,22,112,1
157.39.124.64,3657,131.145.178.203,8081,20,1
161.230.10.206,48049,243.251.178.203,49152,40,1
138.66.222.147,49579,173.139.178.203,9997,24,1
239.129.135.15,44821,121.230.113.131,8406,32,1
65.32.161.83,55634,148.146.178.203,5539,20,1
117.208.81.205,52905,125.186.178.203,9200,24,1
29.199.211.162,56492,40.217.178.203,15122,20,1
227.129.135.15,57595,86.255.5.133,3074,32,1
67.166.55.170,37630,37.177.178.203,8728,20,1
201.66.222.147,49370,31.56.67.150,81,24,1
89.148.213.3,38807,45.224.5.133,3690,32,1
84.182.89.167,30103,243.181.113.131,18333,40,1
193.235.111.64,61014,198.216.178.203,2000,24,1
214.251.26.165,58914,106.121.67.150,443,24,1
178.151.32.18,39542,221.202.178.203,8002,32,1
47.191.6.71,10864,164.194.5.133,53,24,1
158.131.135.15,41156,52.20.28.133,4505,32,1
26.190.178.203,49542,104.41.231.4,443,40,1
84.243.21.3,55128,82.0.67.150,8071,32,1
109.250.228.45,39334,249.23.67.150,443,20,1
213.138.108.64,6095,222.162.24.202,80,158,1
223.236.83.154,45567,98.197.152.202,81,20,1
247.107.149.20,44420,219.200.152.202,111,20,1
70.13.157.165,43378,52.136.178.203,1433,20,1
148.61.38.18,60893,2.214.5.133,6446,32,1
88.76.71.195,53169,243.159.178.203,47001,40,1
115.170.164.185,47655,95.57.67.150,41443,20,1
19.196.247.118,46726,235.197.152.202,23,40,1
169.32.161.83,61000,167.145.178.203,22274,20,1
69.229.10.206,23676,110.77.164.163,31749,24,1
149.236.14.192,65283,76.183.178.203,22,556,2
79.226.135.15,32250,107.203.5.133,8081,40,1
65.229.10.206,57500,91.206.113.131,31346,24,1
227.129.135.15,41487,24.191.164.163,3074,32,1
146.253.113.185,38638,94.0.5.133,443,32,1
202.212.156.198,49292,39.3.67.150,1080,24,1
66.229.10.206,29581,165.128.67.150,29046,24,1
75.83.3.47,57398,0.2.67.150,443,32,1
223.236.83.154,47417,88.191.178.203,81,20,1
97.251.228.45,39833,250.157.67.150,10000,20,1
55.186.178.203,443,3.86.149.18,50276,365,1
150.20.0.185,47918,44.190.178.203,443,413,1
166.244.158.141,55182,27.228.5.133,8728,20,1
196.42.134.104,56096,51.35.148.202,22994,20,1
234.121.88.162,443,21.214.67.150,53392,54,1
142.33.161.83,53470,2.49.164.163,6789,20,1
178.89.39.18,57110,115.191.178.203,8001,32,1
236.208.81.205,50034,124.115.67.150,52200,24,1
196.151.67.20,37696,5.6.5.133,7473,20,1
136.170.164.185,58229,128.168.164.163,22,32,1
53.59.66.20,47879,0.254.5.133,18245,20,1
96.174.2.47,54717,129.198.5.133,4343,32,1
208.121.202.172,37727,247.235.178.203,8040,20,1
208.121.202.172,56331,48.181.178.203,8040,20,1
52.126.96.18,39413,75.56.67.150,49192,32,1
156.205.173.157,63977,58.6.23.114,443,59,1
212.115.61.116,443,45.53.15.133,58962,168,1
115.220.152.202,44443,168.250.152.92,1489,32,1
158.49.134.104,50920,169.160.178.203,999,40,1
239.129.135.15,37806,8.65.28.133,8406,32,1
24.170.101.187,63293,217.35.5.133,445,32,1
47.191.6.71,26366,228.158.178.203,5009,24,1
41.87.123.196,49600,27.205.67.150,1080,20,1
230.131.70.162,26903,41.183.178.203,12352,40,1
16.57.28.219,61020,139.205.112.131,443,88,1
16.57.28.219,61020,139.205.112.131,443,126,1
16.57.28.219,61020,139.205.112.131,443,73,2
16.57.28.219,61020,139.205.112.131,443,128,1
16.57.28.219,61020,139.205.112.131,443,92,1
16.57.28.219,61020,139.205.112.131,443,74,2
123.131.70.162,52388,200.164.24.202,20548,30,1
243.167.119.5,54204,228.226.67.150,80,20,1
157.57.135.211,35828,171.55.67.150,23,20,1
140.121.139.180,12037,99.136.178.203,23,20,1
158.131.135.15,44464,227.218.152.202,4505,32,1
148.61.38.18,58031,70.241.152.202,6446,32,1
224.115.207.193,49721,209.91.67.150,8734,24,1
193.236.83.154,57519,47.183.67.150,80,20,1
124.66.123.196,55562,102.51.164.163,8282,20,1
5.44.68.96,13227,147.172.28.133,80,20,1
14.66.222.147,56948,253.155.164.163,37443,24,1
